"year","ANZ","CAM","CAN","CHI","EEU","FSU","JPK","LAM","MAF","MDE","SAS","SEA","SIS","SSA","USA","WEU"
2070,1.87681112433402,2.70892439852326,1.71753556999166,1.53275695228601,2.13203502123296,1.99145106628373,1.94047236229062,2.47171295087549,2.79900251694181,2.15203722777335,3.21393249673496,2.79067007566896,2.88144718017425,4.44224852024053,1.34292597859662,1.96107036501649
2071,1.87045780994162,2.6725761017595,1.71754766420499,1.50118470295326,2.11363548126475,1.95047715575896,1.93608405896827,2.44452350431767,2.75133232738011,2.13074442166373,3.15924527804737,2.74634290125242,2.85034944803642,4.37139194519657,1.34768900102552,1.95779660899582
2072,1.86410449554922,2.63622780499573,1.71755975841833,1.46961245362052,2.09523594129654,1.90950324523418,1.93169575564591,2.41733405775985,2.70366213781841,2.1094516155541,3.10455805935978,2.70201572683589,2.81925171589859,4.3005353701526,1.35245202345442,1.95452285297514
2073,1.85775118115682,2.59987950823197,1.71757185263167,1.43804020428777,2.07683640132833,1.8685293347094,1.92730745232355,2.39014461120203,2.65599194825672,2.08815880944448,3.04987084067219,2.65768855241936,2.78815398376077,4.22967879510863,1.35721504588333,1.95124909695446
2074,1.85139786676442,2.5635312114682,1.71758394684501,1.40646795495503,2.05843686136012,1.82755542418462,1.92291914900119,2.3629551646442,2.60832175869502,2.06686600333485,2.9951836219846,2.61336137800283,2.75705625162294,4.15882222006466,1.36197806831223,1.94797534093379
2075,1.84504455237202,2.52718291470444,1.71759604105834,1.37489570562228,2.04003732139191,1.78658151365985,1.91853084567883,2.33576571808638,2.56065156913332,2.04557319722523,2.94049640329701,2.5690342035863,2.72595851948512,4.0879656450207,1.36674109074113,1.94470158491311
2076,1.83771446449025,2.5073534526219,1.71231796063953,1.37594021624322,2.02741074971156,1.77635675240963,1.91044050364959,2.31911608744663,2.53124066748076,2.04246889938978,2.90648152219992,2.54105519088582,2.71284956316171,4.02989974583602,1.37710203609534,1.9382498691488
2077,1.83038437660848,2.48752399053936,1.70703988022072,1.37698472686416,2.01478417803121,1.76613199115942,1.90235016162035,2.30246645680689,2.50182976582819,2.03936460155433,2.87246664110282,2.51307617818535,2.69974060683831,3.97183384665134,1.38746298144956,1.93179815338449
2078,1.82305428872671,2.46769452845682,1.7017617998019,1.37802923748509,2.00215760635087,1.7559072299092,1.8942598195911,2.28581682616714,2.47241886417563,2.03626030371888,2.83845176000573,2.48509716548488,2.6866316505149,3.91376794746667,1.39782392680377,1.92534643762017
2079,1.81572420084493,2.44786506637428,1.69648371938309,1.37907374810603,1.98953103467052,1.74568246865899,1.88616947756186,2.26916719552739,2.44300796252306,2.03315600588343,2.80443687890864,2.45711815278441,2.6735226941915,3.85570204828199,1.40818487215798,1.91889472185586
2080,1.80839411296316,2.42803560429175,1.69120563896428,1.38011825872697,1.97690446299017,1.73545770740877,1.87807913553262,2.25251756488765,2.4135970608705,2.03005170804798,2.77042199781155,2.42913914008394,2.66041373786809,3.79763614909732,1.4185458175122,1.91244300609155
2081,1.80400989916397,2.41521928654785,1.69041673818564,1.37586164579016,1.9698890095631,1.73803225438583,1.87292338865866,2.2397706917329,2.39274331081399,2.03072635617107,2.74256208402716,2.40603432425495,2.64491231024705,3.74466797212579,1.42345279176973,1.9087693467845
2082,1.79962568536478,2.40240296880396,1.689627837407,1.37160503285336,1.96287355613602,1.74060680136289,1.86776764178471,2.22702381857815,2.37188956075749,2.03140100429417,2.71470217024278,2.38292950842596,2.629410882626,3.69169979515426,1.42835976602726,1.90509568747746
2083,1.79524147156558,2.38958665106006,1.68883893662835,1.36734841991655,1.95585810270895,1.74318134833995,1.86261189491075,2.2142769454234,2.35103581070098,2.03207565241726,2.6868422564584,2.35982469259697,2.61390945500495,3.63873161818272,1.43326674028479,1.90142202817042
2084,1.79085725776639,2.37677033331617,1.68805003584971,1.36309180697975,1.94884264928188,1.74575589531702,1.8574561480368,2.20153007226866,2.33018206064447,2.03275030054036,2.65898234267401,2.33671987676798,2.5984080273839,3.58576344121119,1.43817371454233,1.89774836886338
2085,1.7864730439672,2.36395401557228,1.68726113507107,1.35883519404294,1.94182719585481,1.74833044229408,1.85230040116284,2.18878319911391,2.30932831058797,2.03342494866345,2.63112242888963,2.31361506093899,2.58290659976286,3.53279526423966,1.44308068879986,1.89407470955634
