"year","ANZ","CAM","CAN","CHI","EEU","FSU","JPK","LAM","MAF","MDE","SAS","SEA","SIS","SSA","USA","WEU"
2047,0.925001750254473,0.00570819619607033,0.754170766094249,-0.640923350751237,-0.260994191499682,-0.296578330354669,-0.36546917542678,-0.0461658935222964,0.201426844399974,0.49175887516276,0.221282556043478,-0.0755829466300817,-0.285864975413883,0.982321605686174,0.562961660064918,0.291704059725908
2048,0.909760999761278,-0.0212700575008729,0.745561761366558,-0.668139517296502,-0.268665061617039,-0.313294385913065,-0.376033177074253,-0.0714161657809709,0.17312567528819,0.457831845853542,0.192801979414048,-0.104073362701329,-0.310115249490586,0.946358541471262,0.553482045574762,0.283014531238699
2049,0.894520249268083,-0.048248311197816,0.736952756638867,-0.695355683841767,-0.276335931734397,-0.330010441471462,-0.386597178721726,-0.0966664380396454,0.144824506176406,0.423904816544325,0.164321402784617,-0.132563778772576,-0.334365523567288,0.910395477256349,0.544002431084607,0.27432500275149
2050,0.879279498774888,-0.0752265648947592,0.728343751911176,-0.722571850387033,-0.284006801851755,-0.346726497029859,-0.397161180369199,-0.12191671029832,0.116523337064622,0.389977787235107,0.135840826155187,-0.161054194843824,-0.358615797643991,0.874432413041437,0.534522816594452,0.265635474264281
2051,0.862428770830772,-0.0970850807695567,0.717820802179161,-0.7470993885018,-0.293628995638018,-0.360413784834113,-0.405523160880144,-0.144204462803257,0.091060939533496,0.360925228090045,0.109511327318512,-0.185294794188291,-0.380022453682993,0.844095685641069,0.528679524515212,0.255485491195775
2052,0.845578042886657,-0.118943596644354,0.707297852447146,-0.771626926616567,-0.303251189424281,-0.374101072638366,-0.413885141391088,-0.166492215308194,0.0655985420023697,0.331872668944984,0.0831818284818375,-0.209535393532758,-0.401429109721996,0.8137589582407,0.522836232435973,0.245335508127269
2053,0.828727314942541,-0.140802112519152,0.696774902715132,-0.796154464731333,-0.312873383210543,-0.38778836044262,-0.422247121902033,-0.188779967813131,0.0401361444712434,0.302820109799922,0.0568523296451628,-0.233775992877225,-0.422835765760998,0.783422230840332,0.516992940356733,0.235185525058763
2054,0.811876586998426,-0.162660628393949,0.686251952983117,-0.8206820028461,-0.322495576996806,-0.401475648246874,-0.430609102412978,-0.211067720318068,0.014673746940117,0.27376755065486,0.0305228308084882,-0.258016592221693,-0.444242421800001,0.753085503439963,0.511149648277494,0.225035541990257
2055,0.79502585905431,-0.184519144268747,0.675729003251102,-0.845209540960867,-0.332117770783069,-0.415162936051128,-0.438971082923922,-0.233355472823005,-0.0107886505910093,0.244714991509798,0.00419333197181349,-0.28225719156616,-0.465649077839003,0.722748776039595,0.505306356198254,0.214885558921751
2056,0.778614175875263,-0.204562834508804,0.664921028485961,-0.86788271469421,-0.343058883550782,-0.425816257849703,-0.454729466427788,-0.254691488628362,-0.0345428132909498,0.21902643330137,-0.0223881774610657,-0.302552641163873,-0.486454970214902,0.695218454644326,0.502024907026848,0.20599631046009
